method_name                                                                                   	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240416_103326__courtyard__results__num_matched5__maxframelookahead10__760p__unified_roma    	                          38	                                  345	                           9.20293	0.2 / 32.4                   	0.6 / 41.7                    	0.6 / 50.8           	                                          486.481 	                                    162.026 	                        301	                         222	                           79	0.1 / 14.8                      	0.2 / 24.3                      	18.0 / 14.0                  	             0.0275073 	0.6 / 32.0                               	66.9 / 64.9                     	                4.93689	                           3.6123  	                    0.153725  	                      132.026 	                        40.8668 	               172.893 	                 35	                      18124	3.0 / 3.1                     	0.1 / 0.2                           	6.6 / 13.4                   	47.0 / 54.0                              	22.3 / 60.5                     	             40.4507	               43.0224	             43.8796	              44.3082	              44.5225	                   35.4314  	                   35.2939  	                   35.3373  	                  106.063  	                  983.363
20240416_103326__delivery_area__results__num_matched5__maxframelookahead10__760p__unified_roma	                          44	                                  403	                          10.0701 	0.0 / 11.7                   	0.1 / 19.0                    	0.1 / 22.6           	                                          488.682 	                                    159.72  	                        238	                         227	                           11	0.0 / 0.2                       	0.0 / 2.9                       	0.0 / 0.0                    	             0.020071  	0.1 / 0.5                                	0.2 / 3.8                       	                5.38677	                           4.04836 	                    0.0462282 	                      165.964 	                        51.3521 	               217.317 	                 40	                      38543	3.0 / 3.1                     	0.1 / 0.2                           	0.0 / 0.0                    	0.2 / 5.2                                	0.0 / 3.3                       	             54.539 	               58.2242	             62.8556	              69.7916	              77.2567	                   14.5634  	                   14.543   	                   14.7327  	                   43.8391 	                  984.273
20240416_103326__electro__results__num_matched5__maxframelookahead10__760p__unified_roma      	                          45	                                  455	                          10.4498 	0.2 / 38.1                   	0.6 / 39.6                    	0.7 / 53.4           	                                          514.838 	                                    161.194 	                        217	                         200	                           17	0.1 / 8.5                       	0.1 / 18.2                      	0.1 / 0.2                    	             0.0199475 	2.0 / 19.8                               	7.3 / 24.1                      	                6.30028	                           5.01225 	                    0.0304451 	                      133.057 	                        42.1093 	               175.166 	                 38	                       9891	3.0 / 3.0                     	0.2 / 0.3                           	1.0 / 0.8                    	3.1 / 18.8                               	2.0 / 13.6                      	             31.984 	               37.8228	             42.8348	              47.6747	              52.216 	                    6.50224 	                    6.57126 	                    6.59284 	                   19.6664 	                  925.725
20240416_103326__facade__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          76	                                  773	                          18.1791 	0.1 / 16.7                   	0.1 / 18.5                    	0.1 / 25.0           	                                         1688.87  	                                    458.14  	                        664	                         624	                           40	0.1 / 8.1                       	0.1 / 10.0                      	0.1 / 0.1                    	             0.251827  	0.2 / 17.5                               	0.9 / 25.5                      	               33.4839 	                          29.4754  	                    0.141789  	                      421.243 	                       128.562  	               549.805 	                 72	                     127841	3.0 / 3.2                     	0.1 / 0.2                           	0.0 / 1.4                    	0.1 / 31.0                               	0.1 / 18.7                      	             76.8899	               81.1804	             82.6954	              83.453 	              83.8318	                  122.19    	                  121.763   	                  122.573   	                  366.526  	                 3292.26
20240416_103326__kicker__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          31	                                  279	                           8.3917 	0.1 / 17.8                   	0.2 / 20.0                    	0.2 / 24.3           	                                          316.232 	                                     98.5586	                        200	                         180	                           20	0.1 / 0.4                       	0.1 / 1.0                       	0.1 / 0.1                    	             0.0137243 	0.1 / 0.2                                	0.1 / 0.1                       	                3.44338	                           2.5123  	                    0.0159268 	                       99.1452	                        30.069  	               129.214 	                 31	                      32147	3.0 / 3.2                     	0.2 / 0.3                           	0.0 / 0.0                    	0.0 / 0.1                                	0.0 / 0.0                       	             95.7028	               98.2811	             99.1406	              99.5703	              99.7851	                   14.7541  	                   14.8502  	                   14.6749  	                   44.2793 	                  647.542
20240416_103326__meadow__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          15	                                   97	                           5.1929 	0.5 / 6.9                    	0.7 / 37.4                    	0.8 / 39.4           	                                           77.2786	                                     26.8852	                         80	                          75	                            5	0.3 / 0.9                       	0.3 / 32.6                      	0.2 / 0.3                    	             0.0049777 	1.9 / 39.2                               	0.4 / 29.7                      	                1.12925	                           0.845879	                    0.0246818 	                       21.5873	                         5.97621	                27.5635	                 15	                       2762	3.0 / 3.1                     	0.2 / 0.3                           	0.0 / 5.6                    	37.3 / 50.8                              	0.0 / 31.2                      	             64.1703	               65.6681	             66.1674	              66.417 	              66.5418	                    0.983979	                    0.978882	                    0.979037	                    2.94199	                  156.154
20240416_103326__office__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          26	                                  215	                           6.48896	0.2 / 37.3                   	1.1 / 28.7                    	1.1 / 44.8           	                                          193.798 	                                     58.1945	                        124	                         103	                           21	0.1 / 3.8                       	0.3 / 5.5                       	0.1 / 0.2                    	             0.0121009 	0.5 / 1.5                                	0.2 / 0.5                       	                2.15212	                           1.49374 	                    0.0981746 	                       55.3205	                        16.7843 	                72.1049	                 23	                      18089	3.0 / 3.2                     	0.2 / 0.3                           	0.0 / 0.1                    	0.3 / 0.9                                	0.0 / 0.1                       	             77.0209	               83.8853	             86.1734	              87.3175	              87.8895	                    5.36109 	                    5.38842 	                    5.35582 	                   16.1055 	                  379.864
20240416_103326__pipes__results__num_matched5__maxframelookahead10__760p__unified_roma        	                          14	                                   85	                           4.64939	0.1 / 7.4                    	0.2 / 7.3                     	0.2 / 9.6            	                                           91.2199	                                     32.9956	                         61	                          61	                            0	0.1 / 0.5                       	0.1 / 1.7                       	0.1 / 0.1                    	             0.00340295	0.3 / 0.4                                	0.4 / 0.3                       	                1.13503	                           0.783081	                    0.00643539	                       38.5851	                        11.3952 	                49.9803	                 14	                       8798	3.0 / 3.1                     	0.2 / 0.3                           	0.0 / 0.0                    	0.1 / 0.1                                	0.1 / 0.1                       	             91.282 	               96.5128	             98.2564	              99.1282	              99.5641	                    2.39397 	                    2.37497 	                    2.37218 	                    7.14122	                  204.284
20240416_103326__playground__results__num_matched5__maxframelookahead10__760p__unified_roma   	                          38	                                  373	                           9.3676 	0.3 / 46.8                   	0.6 / 46.9                    	0.6 / 59.2           	                                          344.451 	                                    108.921 	                        134	                         124	                           10	0.1 / 8.5                       	0.1 / 8.5                       	36.1 / 35.2                  	             0.0290785 	0.2 / 7.1                                	39.8 / 46.7                     	                3.9318 	                           3.26451 	                    0.0569804 	                       69.9189	                        20.8763 	                90.7951	                 19	                       3269	3.0 / 3.0                     	0.2 / 0.3                           	0.2 / 5.9                    	0.2 / 8.5                                	0.1 / 1.7                       	             39.4063	               44.1836	             45.776 	              46.5722	              46.9703	                    0.634949	                    0.613172	                    0.598575	                    1.8468 	                  587.978
20240416_103326__relief_2__results__num_matched5__maxframelookahead10__760p__unified_roma     	                          31	                                  259	                           7.32952	0.0 / 21.4                   	0.1 / 16.9                    	0.1 / 25.9           	                                          343.992 	                                    116.065 	                        198	                         177	                           21	0.0 / 1.2                       	0.0 / 1.9                       	0.0 / 0.0                    	             0.0136471 	0.1 / 1.3                                	0.1 / 1.1                       	                2.87286	                           2.016   	                    0.0303712 	                      133.829 	                        41.4431 	               175.272 	                 31	                      24556	3.0 / 3.1                     	0.1 / 0.2                           	0.0 / 0.0                    	0.1 / 0.1                                	0.0 / 0.0                       	             96.6896	               98.6758	             99.3379	              99.669 	              99.8345	                    6.36438 	                    6.46475 	                    6.39264 	                   19.2219 	                  706.269
