method_name                                                                                         	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240125_175029__facade__results__num_matched5__maxframelookahead10__760p__unified_lightglue        	                          76	                                  833	                          19.2869 	0.2 / 20.5                   	0.5 / 28.7                    	0.5 / 36.0           	                                          45.3843 	                                   244.812  	                        674	                         472	                          202	0.1 / 7.5                       	0.3 / 10.9                      	7.9 / 20.9                   	            0.0558739  	0.2 / 8.3                                	60.2 / 77.2                     	              23.4992  	                          23.1409  	                   0.168752   	                     24.2683  	                       3.76662  	              28.035   	                 72	                       8918	4.0 / 4.7                     	0.6 / 0.7                           	5.1 / 16.6                   	0.2 / 36.4                               	69.7 / 73.9                     	             0      	               0      	             0      	             1.13952 	              4.07985	                  6.01179   	                 5.94469    	                 5.99852    	                17.9551    	                 443.869
20240125_175029__facade__results__num_matched5__maxframelookahead10__760p__unified_loftr            	                          76	                                  833	                          19.0827 	0.1 / 0.6                    	0.5 / 2.4                     	0.5 / 2.5            	                                         124.477  	                                    53.1935 	                        377	                         364	                           13	0.1 / 0.3                       	0.4 / 1.2                       	0.2 / 0.3                    	            0.071413   	0.2 / 0.5                                	0.6 / 1.1                       	              17.5898  	                          17.2743  	                   0.0990555  	                     25.2761  	                       5.50994  	              30.786   	                 62	                      13890	3.0 / 3.9                     	0.4 / 0.5                           	0.1 / 0.1                    	0.1 / 0.3                                	0.1 / 0.2                       	            66.6792 	              75.5557 	            78.5673 	            80.0731  	             80.826  	                  4.39478   	                 4.2948     	                 4.30494    	                12.9946    	                 322.574
20240125_175029__facade__results__num_matched5__maxframelookahead10__760p__unified_sift             	                          76	                                  833	                          19.4349 	0.3 / 1.3                    	1.4 / 6.1                     	1.4 / 6.1            	                                          52.8951 	                                    61.0357 	                        381	                         360	                           21	0.3 / 1.1                       	1.3 / 4.2                       	1.1 / 1.7                    	            0.0533705  	0.8 / 3.2                                	4.6 / 12.4                      	              19.4459  	                          19.2196  	                   0.0682516  	                     14.0916  	                       2.57202  	              16.6636  	                 64	                       5370	4.0 / 4.9                     	0.3 / 0.4                           	0.1 / 0.2                    	0.3 / 0.8                                	0.4 / 0.6                       	            46.3624 	              65.1182 	            73.9737 	            79.0921  	             81.6513 	                  1.6252    	                 1.58424    	                 1.54973    	                 4.75927   	                 231.785
20240125_175029__facade__results__num_matched5__maxframelookahead10__760p__unified_superglue        	                          76	                                  833	                          19.0093 	0.2 / 18.3                   	0.5 / 25.4                    	0.5 / 32.1           	                                         112.281  	                                   258.944  	                        643	                         469	                          174	0.1 / 7.3                       	0.3 / 9.8                       	6.2 / 16.7                   	            4.81689    	0.3 / 10.5                               	68.2 / 72.7                     	              23.058   	                          22.8683  	                   0.107622   	                     23.5903  	                       3.8969   	              27.4872  	                 73	                       7216	4.0 / 4.7                     	0.6 / 0.7                           	7.0 / 19.4                   	0.7 / 40.9                               	66.5 / 74.6                     	             0      	               0      	             0      	             1.16164 	              2.99067	                 15.4752    	                15.4328     	                15.4648     	                46.3728    	                 555.421
20240125_175029__kicker__results__num_matched10__maxframelookahead0__760p__unified_disk             	                          31	                                   99	                           9.99767	0.2 / 1.0                    	0.3 / 1.0                     	0.3 / 1.5            	                                          13.7334 	                                    59.4296 	                         94	                          84	                           10	0.2 / 0.4                       	0.3 / 0.9                       	0.1 / 0.1                    	            0.00896239 	0.3 / 0.7                                	0.2 / 0.4                       	               0.969903	                           0.936871	                   0.00831938 	                      9.84877 	                       1.82343  	              11.6722  	                 19	                       5169	3.0 / 4.2                     	0.5 / 0.6                           	0.0 / 0.0                    	0.1 / 0.1                                	0.1 / 0.1                       	            55.9916 	              59.1708 	            60.2306 	            60.7605  	             61.0254 	                  2.043     	                 2.03392    	                 2.00049    	                 6.07751   	                 128.763
20240125_175029__kicker__results__num_matched10__maxframelookahead0__760p__unified_lightglue        	                          31	                                   99	                           9.70079	0.2 / 0.4                    	0.4 / 2.3                     	0.4 / 2.3            	                                          11.148  	                                    22.9977 	                         94	                          88	                            6	0.2 / 0.4                       	0.4 / 2.3                       	0.1 / 0.1                    	            0.00635076 	0.3 / 0.7                                	0.2 / 0.3                       	               1.13874 	                           1.0993  	                   0.0094614  	                      5.11495 	                       0.597356 	               5.71231 	                 19	                       1557	4.0 / 4.6                     	0.5 / 0.6                           	0.1 / 0.1                    	0.1 / 0.2                                	0.1 / 0.2                       	            51.8238 	              57.5037 	            59.397  	            60.3437  	             60.817  	                  0.59762   	                 0.593575   	                 0.586456   	                 1.77775   	                  76.1768
20240125_175029__kicker__results__num_matched10__maxframelookahead0__760p__unified_loftr            	                          31	                                   99	                           9.81843	0.3 / 1.5                    	0.5 / 4.7                     	0.6 / 5.1            	                                          11.6532 	                                     8.77319	                         80	                          72	                            8	0.2 / 0.7                       	0.4 / 4.5                       	0.1 / 0.1                    	            0.00648403 	0.4 / 0.9                                	0.3 / 0.5                       	               1.18263 	                           1.15934 	                   0.00975823 	                      4.2597  	                       0.623058 	               4.88276 	                 19	                       1123	3.0 / 3.5                     	0.4 / 0.5                           	0.1 / 0.1                    	0.2 / 0.3                                	0.2 / 0.2                       	            50.0371 	              56.789  	            59.0397 	            60.165   	             60.7277 	                  0.169113  	                 0.166677   	                 0.173249   	                 0.509127  	                  59.3422
20240125_175029__kicker__results__num_matched10__maxframelookahead0__760p__unified_sift             	                          31	                                   99	                          10.2522 	0.4 / 1.4                    	0.9 / 2.9                     	1.0 / 3.0            	                                           6.96851	                                    10.7031 	                         91	                          83	                            8	0.4 / 0.8                       	0.8 / 2.0                       	0.2 / 0.3                    	            0.0065434  	0.7 / 1.9                                	0.6 / 0.7                       	               1.07692 	                           1.05294 	                   0.011081   	                      4.47041 	                       0.490079 	               4.96049 	                 19	                       1360	3.0 / 4.2                     	0.3 / 0.3                           	0.1 / 0.1                    	0.2 / 0.3                                	0.2 / 0.2                       	            48.4305 	              56.5028 	            58.8966 	            60.0934  	             60.6919 	                  0.337405  	                 0.337165   	                 0.339593   	                 1.01427   	                  58.0203
20240125_175029__kicker__results__num_matched10__maxframelookahead0__760p__unified_superglue        	                          31	                                   99	                          10.0754 	0.2 / 0.6                    	0.3 / 1.2                     	0.3 / 1.3            	                                          12.3004 	                                    22.8935 	                         93	                          87	                            6	0.2 / 0.4                       	0.3 / 1.1                       	0.1 / 0.1                    	            0.00584364 	0.4 / 0.8                                	0.2 / 0.4                       	               0.988415	                           0.96719 	                   0.00720429 	                      4.85581 	                       0.590758 	               5.44656 	                 19	                       1684	4.0 / 4.5                     	0.5 / 0.6                           	0.1 / 0.1                    	0.1 / 0.2                                	0.1 / 0.2                       	            52.4217 	              57.7429 	            59.5166 	            60.4035  	             60.8469 	                  0.529476  	                 0.540169   	                 0.533711   	                 1.60345   	                  76.8555
20240125_175029__kicker__results__num_matched10__maxframelookahead10__760p__unified_disk            	                          31	                                  303	                           9.93993	0.3 / 3.6                    	0.4 / 2.9                     	0.5 / 4.2            	                                          11.108  	                                    80.1824 	                        171	                         153	                           18	0.3 / 0.7                       	0.3 / 1.1                       	0.4 / 0.5                    	            0.0105619  	0.3 / 0.6                                	0.6 / 1.1                       	               2.33367 	                           2.26869 	                   0.0210605  	                     11.5474  	                       1.97879  	              13.5262  	                 29	                       5299	3.0 / 4.2                     	0.5 / 0.6                           	0.0 / 0.1                    	0.1 / 0.3                                	0.1 / 0.2                       	            78.7433 	              87.6263 	            90.5874 	            92.0679  	             92.8081 	                  2.27024   	                 2.20764    	                 2.1964     	                 6.67439   	                 151.808
20240125_175029__kicker__results__num_matched10__maxframelookahead10__760p__unified_lightglue       	                          31	                                  303	                           9.72758	0.4 / 12.0                   	0.5 / 9.6                     	0.6 / 14.1           	                                           8.68294	                                    30.5895 	                        184	                         162	                           22	0.3 / 0.7                       	0.4 / 1.8                       	0.1 / 0.2                    	            0.0150254  	0.3 / 0.6                                	0.4 / 0.5                       	               2.26668 	                           2.21505 	                   0.0311351  	                      4.9997  	                       0.682778 	               5.68248 	                 30	                       1928	3.0 / 4.4                     	0.5 / 0.6                           	0.1 / 0.1                    	0.1 / 0.2                                	0.1 / 0.2                       	            82.5323 	              91.0774 	            93.9258 	            95.35    	             96.0621 	                  0.678838  	                 0.684536   	                 0.677123   	                 2.04059   	                  83.416
20240125_175029__kicker__results__num_matched10__maxframelookahead10__760p__unified_loftr           	                          31	                                  303	                          10.2264 	0.3 / 4.2                    	0.6 / 8.1                     	0.8 / 8.4            	                                           7.37037	                                     9.47327	                         95	                          79	                           16	0.2 / 0.6                       	0.4 / 1.1                       	0.1 / 0.1                    	            0.0115728  	0.4 / 0.6                                	0.3 / 0.4                       	               1.25057 	                           1.22242 	                   0.0100563  	                      4.56283 	                       0.642787 	               5.20562 	                 22	                       1290	3.0 / 3.5                     	0.4 / 0.5                           	0.1 / 0.1                    	0.2 / 0.4                                	0.2 / 0.2                       	            56.8267 	              65.3113 	            68.1395 	            69.5536  	             70.2607 	                  0.16607   	                 0.173373   	                 0.16749    	                 0.507019  	                  56.4953
20240125_175029__kicker__results__num_matched10__maxframelookahead10__760p__unified_sift            	                          31	                                  303	                           9.64381	0.8 / 3.2                    	1.1 / 6.6                     	1.3 / 6.8            	                                           6.93481	                                    13.5177 	                        134	                         115	                           19	0.6 / 1.2                       	0.9 / 2.1                       	0.3 / 0.7                    	            0.00919056 	0.7 / 1.9                                	1.1 / 1.6                       	               1.9938  	                           1.95263 	                   0.0248098  	                      4.57433 	                       0.637374 	               5.2117  	                 27	                       1475	4.0 / 4.4                     	0.3 / 0.4                           	0.2 / 0.3                    	0.2 / 0.7                                	0.3 / 0.6                       	            54.7728 	              70.2962 	            78.5519 	            82.8243  	             84.9606 	                  0.448557  	                 0.451642   	                 0.452831   	                 1.35312   	                  62.2799
20240125_175029__kicker__results__num_matched10__maxframelookahead10__760p__unified_superglue       	                          31	                                  303	                           9.71012	0.4 / 18.9                   	0.5 / 12.8                    	0.7 / 20.1           	                                           8.64796	                                    31.3254 	                        191	                         161	                           30	0.3 / 5.1                       	0.4 / 3.6                       	0.2 / 0.2                    	            0.0135419  	0.4 / 1.0                                	1.5 / 2.3                       	               2.66084 	                           2.60007 	                   0.0325439  	                      4.92936 	                       0.671857 	               5.60122 	                 30	                       1779	3.0 / 4.2                     	0.5 / 0.6                           	0.1 / 0.1                    	0.2 / 0.6                                	0.2 / 0.3                       	            70.6333 	              85.7325 	            91.2533 	            94.0138  	             95.394  	                  0.622593  	                 0.616161   	                 0.619837   	                 1.85868   	                  83.8556
20240125_175029__kicker__results__num_matched5__maxframelookahead0__760p__unified_disk              	                          31	                                   79	                           9.80814	0.1 / 0.3                    	0.2 / 0.9                     	0.3 / 1.0            	                                          24.5966 	                                    53.5768 	                         74	                          63	                           11	0.1 / 0.2                       	0.2 / 0.9                       	0.1 / 0.1                    	            0.00821042 	0.3 / 0.8                                	0.2 / 0.3                       	               1.0008  	                           0.875379	                   0.0184426  	                     10.5002  	                       1.80946  	              12.3096  	                 18	                       5331	3.0 / 4.2                     	0.5 / 0.6                           	0.0 / 0.0                    	0.1 / 0.1                                	0.1 / 0.1                       	            53.4091 	              56.2023 	            57.1334 	            57.599   	             57.8317 	                  2.07761   	                 2.06651    	                 2.04333    	                 6.18761   	                 134.507
20240125_175029__kicker__results__num_matched5__maxframelookahead0__760p__unified_lightglue         	                          31	                                   79	                           9.79968	0.2 / 0.4                    	0.4 / 2.6                     	0.4 / 2.6            	                                          14.7149 	                                    20.6121 	                         75	                          67	                            8	0.2 / 0.4                       	0.3 / 2.7                       	0.1 / 0.1                    	            0.00508928 	0.3 / 0.8                                	0.2 / 0.3                       	               0.841134	                           0.821779	                   0.00609303 	                      4.41774 	                       0.610548 	               5.02829 	                 18	                       1628	4.0 / 4.6                     	0.5 / 0.6                           	0.1 / 0.1                    	0.2 / 0.2                                	0.1 / 0.2                       	            49.1971 	              54.5175 	            56.291  	            57.1778  	             57.6211 	                  0.658021  	                 0.659888   	                 0.665983   	                 1.98398   	                  76.6763
20240125_175029__kicker__results__num_matched5__maxframelookahead0__760p__unified_loftr             	                          31	                                   79	                           9.80936	0.2 / 1.3                    	0.4 / 3.7                     	0.5 / 3.8            	                                          24.783  	                                     8.65508	                         69	                          59	                           10	0.2 / 0.6                       	0.4 / 2.3                       	0.1 / 0.1                    	            0.00556111 	0.3 / 0.5                                	0.3 / 0.3                       	               0.946295	                           0.921199	                   0.0110409  	                      4.17201 	                       0.552903 	               4.72492 	                 18	                       1029	3.0 / 3.4                     	0.4 / 0.5                           	0.1 / 0.1                    	0.3 / 0.4                                	0.2 / 0.2                       	            44.7217 	              52.7274 	            55.3959 	            56.7302  	             57.3974 	                  0.132364  	                 0.126765   	                 0.128409   	                 0.387643  	                  71.9523
20240125_175029__kicker__results__num_matched5__maxframelookahead0__760p__unified_sift              	                          31	                                   79	                          13.8918 	0.3 / 1.1                    	0.8 / 2.9                     	0.9 / 2.9            	                                          10.9558 	                                    10.3254 	                         76	                          68	                            8	0.2 / 0.6                       	0.7 / 1.9                       	0.2 / 0.3                    	            0.00513959 	0.7 / 2.6                                	0.5 / 0.7                       	               1.08667 	                           1.04817 	                   0.0224319  	                      3.90687 	                       0.471285 	               4.37815 	                 18	                       1308	3.0 / 4.1                     	0.3 / 0.3                           	0.0 / 0.0                    	0.1 / 0.2                                	0.1 / 0.1                       	            53.5487 	              56.2582 	            57.1613 	            57.6129  	             57.8387 	                  0.547565  	                 0.533237   	                 0.541877   	                 1.62278   	                  65.2119
20240125_175029__kicker__results__num_matched5__maxframelookahead0__760p__unified_superglue         	                          31	                                   79	                           9.83949	0.1 / 0.3                    	0.3 / 1.1                     	0.3 / 1.1            	                                          16.2843 	                                    20.4636 	                         74	                          67	                            7	0.1 / 0.3                       	0.3 / 1.2                       	0.1 / 0.1                    	            0.00468397 	0.4 / 1.0                                	0.3 / 0.4                       	               0.878457	                           0.851493	                   0.00709176 	                      4.33524 	                       0.589489 	               4.92473 	                 18	                       1745	3.0 / 4.4                     	0.5 / 0.6                           	0.1 / 0.1                    	0.1 / 0.2                                	0.1 / 0.1                       	            50.5881 	              55.074  	            56.5692 	            57.3169  	             57.6907 	                  0.573319  	                 0.568712   	                 0.584984   	                 1.7271    	                  77.7009
