method_name                                                                                   	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240416_004547__courtyard__results__num_matched5__maxframelookahead10__760p__unified_roma    	                          38	                                  345	                           9.44866	0.2 / 31.0                   	0.6 / 39.3                    	0.6 / 48.0           	                                          493.75  	                                    163.411 	                        298	                         226	                           72	0.1 / 13.2                      	0.2 / 22.4                      	15.2 / 12.9                  	             0.0252783 	0.6 / 25.4                               	19.0 / 20.8                     	                5.05006	                           3.86895 	                     0.0685906	                      140.763 	                        44.3316 	               185.094 	                 37	                       6900	3.0 / 3.0                     	0.1 / 0.1                           	14.6 / 11.9                  	27.0 / 43.1                              	18.3 / 19.3                     	             41.0557	               43.2644	             44.0006	              44.3687	              45.9586	                    2.67318 	                    2.63082 	                    2.63482 	                   7.93893 	                  899.102
20240416_004547__delivery_area__results__num_matched5__maxframelookahead10__760p__unified_roma	                          44	                                  403	                          10.2997 	0.0 / 11.0                   	0.1 / 19.6                    	0.1 / 22.5           	                                          494.36  	                                    160.752 	                        240	                         227	                           13	0.0 / 0.3                       	0.0 / 4.3                       	0.0 / 0.0                    	             0.0196939 	0.1 / 3.8                                	0.3 / 19.6                      	                5.3495 	                           3.89795 	                     0.233811 	                      165.776 	                        52.6731 	               218.449 	                 23	                       8485	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.0                    	0.0 / 0.1                                	0.0 / 0.0                       	             51.0069	               51.7664	             52.0196	              52.1461	              52.2094	                    2.19856 	                    2.1621  	                    2.16313 	                   6.5239  	                  932.65
20240416_004547__electro__results__num_matched5__maxframelookahead10__760p__unified_roma      	                          45	                                  455	                          10.0224 	0.3 / 36.0                   	0.7 / 39.5                    	0.7 / 53.2           	                                          511.963 	                                    158.641 	                        222	                         206	                           16	0.1 / 12.6                      	0.1 / 20.0                      	0.1 / 0.3                    	             0.0307453 	1.9 / 22.3                               	6.3 / 25.5                      	                6.62227	                           5.49328 	                     0.0503752	                      142.055 	                        46.3129 	               188.367 	                 44	                       5649	3.0 / 3.0                     	0.2 / 0.3                           	0.4 / 2.3                    	10.0 / 29.9                              	0.7 / 15.8                      	             37.4668	               46.9867	             51.1734	              55.1233	              60.2327	                    1.37807 	                    1.34478 	                    1.34654 	                   4.0695  	                  915.303
20240416_004547__facade__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          76	                                  773	                          17.5648 	0.1 / 17.0                   	0.1 / 18.5                    	0.1 / 25.0           	                                         1722.26  	                                    471.251 	                        666	                         625	                           41	0.1 / 8.4                       	0.1 / 9.4                       	0.1 / 0.2                    	             0.493123  	0.2 / 14.8                               	1.4 / 23.2                      	               33.4941 	                          29.8558  	                     0.179274 	                      429.65  	                       135.909  	               565.558 	                 65	                      49028	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.0                    	0.1 / 0.1                                	0.0 / 0.1                       	             80.8406	               83.652 	             84.5892	              85.0577	              85.292 	                   16.1126  	                   16.0062  	                   16.0489  	                  48.1678  	                 2964.72
20240416_004547__kicker__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          31	                                  279	                           8.55726	0.1 / 18.8                   	0.2 / 19.2                    	0.2 / 24.5           	                                          321.093 	                                    100.671 	                        197	                         180	                           17	0.1 / 0.4                       	0.1 / 1.4                       	0.1 / 0.1                    	             0.0139537 	0.1 / 0.4                                	0.1 / 0.4                       	                3.93062	                           2.97383 	                     0.064934 	                      101.531 	                        30.9511 	               132.482 	                 30	                      13196	3.0 / 3.0                     	0.1 / 0.2                           	0.0 / 0.0                    	0.1 / 0.1                                	0.1 / 0.1                       	             91.1637	               94.53  	             95.6521	              96.2131	              96.4937	                    4.2303  	                    4.21019 	                    4.20041 	                  12.641   	                  614.053
20240416_004547__meadow__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          15	                                   97	                           5.20897	0.6 / 8.1                    	0.6 / 38.6                    	0.9 / 40.8           	                                           78.3462	                                     26.3383	                         79	                          74	                            5	0.2 / 0.9                       	0.3 / 28.9                      	0.2 / 0.2                    	             0.00432038	2.5 / 49.4                               	0.1 / 47.0                      	                1.15836	                           0.840095	                     0.0494051	                       23.2848	                         6.69554	                29.9803	                 15	                        962	3.0 / 3.0                     	0.1 / 0.2                           	0.2 / 1.1                    	15.1 / 60.6                              	0.2 / 48.1                      	             53.5546	               57.4218	             58.7109	              59.3555	              59.6777	                    0.190173	                    0.194745	                    0.189607	                   0.574641	                  155.577
20240416_004547__office__results__num_matched5__maxframelookahead10__760p__unified_roma       	                          26	                                  215	                           6.61806	0.2 / 35.6                   	1.1 / 28.2                    	1.1 / 42.8           	                                          197.151 	                                     60.0505	                        128	                         104	                           24	0.1 / 3.9                       	0.2 / 5.9                       	0.3 / 0.7                    	             0.0223935 	0.3 / 2.8                                	0.2 / 0.8                       	                2.52123	                           1.95309 	                     0.04357  	                       57.6012	                        18.1926 	                75.7938	                 23	                       8644	3.0 / 3.0                     	0.2 / 0.2                           	0.0 / 0.1                    	0.3 / 1.1                                	0.1 / 0.2                       	             74.3359	               82.3489	             85.4052	              86.9334	              87.6975	                    1.70421 	                    1.74814 	                    1.72095 	                   5.17341 	                  372.094
20240416_004547__pipes__results__num_matched5__maxframelookahead10__760p__unified_roma        	                          14	                                   85	                           4.42346	0.1 / 9.1                    	0.2 / 9.7                     	0.2 / 11.6           	                                           92.1008	                                     33.9374	                         60	                          60	                            0	0.1 / 0.5                       	0.1 / 1.2                       	0.1 / 0.2                    	             0.00335836	0.4 / 0.8                                	0.5 / 0.6                       	                1.01958	                           0.683143	                     0.0102017	                       40.6181	                        12.696  	                53.3141	                 14	                       3992	3.0 / 3.0                     	0.2 / 0.2                           	0.0 / 0.0                    	0.1 / 0.2                                	0.1 / 0.1                       	             90.2901	               96.1161	             98.058 	              99.029 	              99.5145	                    0.988264	                    0.988888	                    0.98982 	                   2.96707 	                  202.585
20240416_004547__playground__results__num_matched5__maxframelookahead10__760p__unified_roma   	                          38	                                  373	                           9.73473	0.2 / 42.5                   	0.4 / 44.5                    	0.4 / 54.6           	                                          349.129 	                                    110.4   	                        134	                         127	                            7	0.1 / 7.0                       	0.1 / 5.9                       	0.7 / 0.7                    	             0.0130603 	0.2 / 4.4                                	4.2 / 10.9                      	                3.72444	                           3.04102 	                     0.0341258	                       71.1993	                        22.6006 	                93.7998	                 36	                       3725	3.0 / 3.0                     	0.1 / 0.2                           	0.1 / 0.3                    	0.5 / 2.4                                	0.4 / 1.2                       	             47.6056	               54.9145	             72.6307	              83.6838	              89.2103	                    2.78801 	                    2.77861 	                    2.76931 	                   8.33603 	                  605.099
20240416_004547__relief_2__results__num_matched5__maxframelookahead10__760p__unified_roma     	                          31	                                  259	                           7.75481	0.0 / 21.4                   	0.1 / 18.5                    	0.1 / 26.4           	                                          346.515 	                                    118.075 	                        193	                         176	                           17	0.0 / 0.7                       	0.0 / 0.6                       	0.0 / 0.0                    	             0.0136645 	0.1 / 0.1                                	0.1 / 0.3                       	                3.07725	                           2.25982 	                     0.0468502	                      135.938 	                        43.2887 	               179.226 	                 31	                      10484	3.0 / 3.0                     	0.1 / 0.1                           	0.0 / 0.0                    	0.0 / 0.1                                	0.0 / 0.0                       	             97.2168	               98.8867	             99.4434	              99.7217	              99.8608	                    1.55964 	                    1.54169 	                    1.51918 	                   4.62062 	                  691.094
