CameraMaker,CameraModel,SensorDescription,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Acer,CE-5330,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CE-5430,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CE-6430,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2909,2187
Acer,CI-6330,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2862,2152
Acer,CI-6530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2871,2159
Acer,CI-8330,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3310,2489
Acer,CL-5300,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CP-8531,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3272,2460
Acer,CP-8660,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3302,2483
Acer,CR-5130,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2579,1939
Acer,CR-6530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2894,2176
Acer,CR-8530,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3272,2460
Acer,CS-5530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CS-5531,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Acer,CS-6530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
Acer,CS-6531,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
Acer,CU-6530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2862,2152
AgfaPhoto,Compact 100,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3647,2742
AgfaPhoto,Compact 102,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,Compact 103,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,DC-1030i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1033m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3647,2742
AgfaPhoto,DC-1033x,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1338i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-1338sT,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
AgfaPhoto,DC-2030m,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,DC-302,"1/3"" (~ 4.8 x 3.6 mm)",4.8,3.6,1998,1502
AgfaPhoto,DC-500,"1/3"" (~ 4.8 x 3.6 mm)",4.8,3.6,2579,1939
AgfaPhoto,DC-530i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,DC-533,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,DC-600uw,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,2825,2124
AgfaPhoto,DC-630,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-630i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-630x,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-633x,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-633xs,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
AgfaPhoto,DC-730i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-733i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-733s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-735,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-735i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-738i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
AgfaPhoto,DC-830,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-830i,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
AgfaPhoto,DC-8330i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-8338i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-833m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,DC-8428s,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
AgfaPhoto,ePhoto 1280,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,964,725
AgfaPhoto,ePhoto 1680,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1264,950
AgfaPhoto,ePhoto CL18,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,632,475
AgfaPhoto,ePhoto CL30,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1095,823
AgfaPhoto,ePhoto CL30 Clik!,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1095,823
AgfaPhoto,ePhoto CL45,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1589,1195
AgfaPhoto,ePhoto CL50,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,1264,950
AgfaPhoto,Optima 1,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 100,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3647,2742
AgfaPhoto,Optima 102,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 103,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
AgfaPhoto,Optima 104,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3995,3004
AgfaPhoto,Optima 105,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
AgfaPhoto,Optima 1338mT,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
AgfaPhoto,Optima 1438m,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3647,2742
AgfaPhoto,Optima 3,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
AgfaPhoto,Optima 830UW,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,Optima 8328m,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
AgfaPhoto,sensor 505-D,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 505-X,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 530s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
AgfaPhoto,sensor 830s,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
Apple,iPhone 4,"1/3.2"" (~ 4.54 × 3.42 mm)",4.54,3.42,2592,1936
Apple,iPhone 4S,"1/3.2"" (~ 4.54 × 3.42 mm)",4.54,3.42,3264,2448
Apple,iPhone 5,"1/3.2"" (~ 4.54 × 3.42 mm)",4.54,3.42,3264,2448
Apple,iPhone 5S,"1/3"" (~ 4.89 × 3.67 mm)",4.89,3.67,3264,2448
Apple,iPhone 6,"1/3"" (~ 4.89 × 3.67 mm)",4.89,3.67,3264,2448
Apple,iPhone 6 Plus,"1/3"" (~ 4.89 × 3.67 mm)",4.89,3.67,3264,2448
BenQ,AC100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,AE100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,C1420,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4315,3244
BenQ,DC 2300,"1/3.2"" (~ 4.5 x 3.37 mm)",4.5,3.37,1604,1197
BenQ,DC 2410,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2044,1537
BenQ,DC 3400,"1/3.2"" (~ 4.5 x 3.37 mm)",4.5,3.37,1637,1222
BenQ,DC 3410,"1/3.2"" (~ 4.5 x 3.37 mm)",4.5,3.37,1678,1252
BenQ,DC 4330,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2095,1575
BenQ,DC 4500,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2306,1734
BenQ,DC 5330,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2044,1537
BenQ,DC C1000,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
BenQ,DC C1020,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC C1030 Eco,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC C1035,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC C1050,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,3661,2732
BenQ,DC C1060,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC C1220,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC C1230,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC C1250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC C1255,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC C1430,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC C1450,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC C1460,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4315,3244
BenQ,DC C1480,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC C30,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2108,1585
BenQ,DC C35,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2067,1554
BenQ,DC C40,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2374,1785
BenQ,DC C420,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2306,1734
BenQ,DC C50,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2579,1939
BenQ,DC C500,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C51,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C510,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C520,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C530,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C540,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC C60,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2909,2187
BenQ,DC C610,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
BenQ,DC C62,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2910,2188
BenQ,DC C630,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
BenQ,DC C640,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2835,2116
BenQ,DC C740,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC C740i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC C750,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC C800,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
BenQ,DC C840,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,DC C850,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,DC E1000,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
BenQ,DC E1020,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC E1030,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC E1035,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC E1050,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,3661,2732
BenQ,DC E1050t,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC E1220,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1230,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1240,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1260,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1280,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC E1420,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC E1430,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC E1460,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC E1465,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC E30,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,2044,1537
BenQ,DC E300,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,2044,1537
BenQ,DC E310,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,2063,1551
BenQ,DC E40,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2371,1783
BenQ,DC E41,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2371,1783
BenQ,DC E43,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2363,1777
BenQ,DC E510,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC E520,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC E520 plus,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2558,1923
BenQ,DC E53,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2629,1977
BenQ,DC E600,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
BenQ,DC E605,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
BenQ,DC E610,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2849,2142
BenQ,DC E63 Plus,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
BenQ,DC E720,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC E800,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3282,2468
BenQ,DC E820,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,DC L1020,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
BenQ,DC P1410,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,DC P500,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
BenQ,DC P860,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3262,2453
BenQ,DC S1430,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4315,3244
BenQ,DC S30,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2108,1585
BenQ,DC S40,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2374,1785
BenQ,DC T1260,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC T700,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC T800,"1/2.35"" (~ 6.03 x 4.52 mm)",6.03,4.52,3262,2453
BenQ,DC T850,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,DC W1220,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3995,3004
BenQ,DC X600,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2909,2187
BenQ,DC X710,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
BenQ,DC X720,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3095,2327
BenQ,DC X725,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3095,2327
BenQ,DC X735,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3095,2327
BenQ,DC X800,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,DC X835,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
BenQ,E1480,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,G1,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,GH200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
BenQ,GH600,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
BenQ,GH700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
BenQ,LM100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,S1410,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4315,3244
BenQ,S1420,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
BenQ,T1460,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Canon,Digital IXUS,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1676,1260
Canon,Digital IXUS 100 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,Digital IXUS 110 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,Digital IXUS 120 IS,,6.17,,,
Canon,Digital IXUS 200 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,Digital IXUS 300,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1676,1260
Canon,Digital IXUS 330,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1676,1260
Canon,Digital IXUS 40,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2306,1734
Canon,Digital IXUS 400,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2335,1756
Canon,Digital IXUS 430,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2306,1734
Canon,Digital IXUS 50,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Canon,Digital IXUS 500,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,2579,1939
Canon,Digital IXUS 60,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
Canon,Digital IXUS 65,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
Canon,Digital IXUS 80 IS,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
Canon,Digital IXUS 800 IS,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
Canon,Digital IXUS 85 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,Digital IXUS 850 IS,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3072,2310
Canon,Digital IXUS 860 IS,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
Canon,Digital IXUS 870 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,Digital IXUS 90 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,Digital IXUS 900 Ti,"1/1.8"" (~ 7.11 x 5.33 mm)",7.11,5.33,3647,2742
Canon,Digital IXUS 95 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,Digital IXUS 950 IS,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
Canon,Digital IXUS 960 IS,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,4027,3005
Canon,Digital IXUS 970 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,Digital IXUS 980 IS,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,4438,3312
Canon,Digital IXUS 990 IS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,Digital IXUS i,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2335,1756
Canon,Digital IXUS i Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Canon,Digital IXUS i7,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3072,2310
Canon,Digital IXUS II,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2108,1585
Canon,Digital IXUS IIs,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2063,1551
Canon,Digital IXUS V,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1589,1195
Canon,Digital IXUS v2,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1676,1260
Canon,Digital IXUS v3,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2108,1585
Canon,ELPH 135 / IXUS 145,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Canon,ELPH 140 IS / IXUS 150,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Canon,ELPH 150 IS / IXUS 155,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,5158,3878
Canon,EOS 1000D,22.2 x 14.8 mm,22.2,14.8,3893,2595
Canon,EOS 10D,22.7 x 15.1 mm,22.7,15.1,3074,2049
Canon,EOS 20D,22.5 x 15 mm,22.5,15,3507,2338
Canon,EOS 20Da,22.5 x 15 mm,22.5,15,3507,2338
Canon,EOS 300D,22.7 x 15.1 mm,22.7,15.1,3074,2049
Canon,EOS 30D,22.5 x 15 mm,22.5,15,3506,2337
Canon,EOS 350D,22.2 x 14.8 mm,22.2,14.8,3464,2309
Canon,EOS 400D,22.2 x 14.8 mm,22.2,14.8,3893,2595
Canon,EOS 40D,22.2 x 14.8 mm,22.2,14.8,3893,2595
Canon,EOS 450D,22.2 x 14.8 mm,22.2,14.8,4278,2852
Canon,EOS 500D,22.3 x 14.9 mm,22.3,14.9,4760,3173
Canon,EOS 50D,22.3 x 14.9 mm,22.3,14.9,4760,3173
Canon,EOS 5D,35.8 x 23.8 mm,35.8,23.8,4365,2910
Canon,EOS 5D Mark II,36 x 24 mm,36,24,5613,3742
Canon,EOS 5D Mark III,36 x 24 mm,36,24,5784,3856
Canon,EOS 5D Mark IV,36 x 24 mm,36,24,6720,4480
Canon,EOS 60D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS 60Da,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS 6D,35.8 x 23.9 mm,35.8,23.9,5505,3670
Canon,EOS 70D,22.5 x 15 mm,22.5,15,5505,3670
Canon,EOS 7D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS 7D Mark II,22.4 x 15 mm,22.4,15,5486,3682
Canon,EOS D30,22.7 x 15.1 mm,22.7,15.1,2157,1438
Canon,EOS D60,22.7 x 15.1 mm,22.7,15.1,3074,2049
Canon,EOS M,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel SL1 / 100D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel T1i / 500D,22.3 x 14.9 mm,22.3,14.9,4752,3168
Canon,EOS Rebel T2i / Kiss X4 / 550D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel T3 / 1100D,22.2 x 14.8 mm,22.2,14.8,4278,2852
Canon,EOS Rebel T3i / 600D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel T4i / 650D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel T5 / 1200D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS Rebel T5i / 700D,22.3 x 14.9 mm,22.3,14.9,5196,3464
Canon,EOS-1D,28.7 x 19.1 mm,28.7,19.1,2480,1653
Canon,EOS-1D C,36 x 24 mm,36,24,5211,3474
Canon,EOS-1D Mark II,28.7 x 19.1 mm,28.7,19.1,3507,2338
Canon,EOS-1D Mark II N,28.7 x 19.1 mm,28.7,19.1,3507,2338
Canon,EOS-1D Mark III,28.7 x 18.7 mm,28.7,18.7,3931,2569
Canon,EOS-1D Mark IV,27.9 x 18.6 mm,27.9,18.6,4914,3276
Canon,EOS-1D X,36 x 24 mm,36,24,5211,3474
Canon,EOS-1Ds,35.8 x 23.8 mm,35.8,23.8,4062,2708
Canon,EOS-1Ds Mark II,36 x 24 mm,36,24,5006,3337
Canon,EOS-1Ds Mark III,36 x 24 mm,36,24,5627,3751
Canon,IXUS 1000 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Canon,IXUS 105,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,IXUS 1100 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,IXUS 115 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,IXUS 125 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4627,3479
Canon,IXUS 130,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Canon,IXUS 132,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Canon,IXUS 210,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Canon,IXUS 220 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,IXUS 230 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Canon,IXUS 240 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4627,3479
Canon,IXUS 300 HS,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
